"wmon","fmisid","station_name","lon","lat","elev"
1468,114143,"Kongsvinger",12.00667,60.19028,148
1471,114144,"Veggli Ii",9.14667,60.04333,275
1484,114145,"Aurskog",11.58,59.91194,128
1373,114147,"Nesbyen-Todokk",9.13361,60.56694,167
1383,114148,"Evenstad-Dih",11.08028,61.42528,257
1490,114149,"Tryvasshogda",10.66917,59.98444,514
1352,114150,"Sandhaug",7.48139,60.18389,1250
1361,114151,"Grotli Iii",7.66361,62.01611,872
1386,114152,"Hamar Ii",11.0975,60.80083,132
1416,114153,"Stavanger Vaaland",5.73,58.95694,72
1376,114154,"Gulsvik Ii",9.605,60.38278,142
1488,114155,"Hakadal",10.82889,60.11722,170
1430,114157,"Mandal Iii",7.45167,58.02444,10
1426,114158,"Eigeroya",5.87167,58.43528,49
1477,114159,"Konnerud",10.14583,59.71278,193
1478,114160,"Svenner Lh",10.14778,58.96861,15
1365,114161,"Beitostolen Ii",8.92278,61.25056,965
1419,114162,"Liarvatn",6.12111,59.05083,300
2013,114163,"Ritsem",17.47111,67.72694,543
2024,114165,"Stora Sjofallet",18.29444,67.49639,425
2029,114166,"Tarfala",18.60722,67.91139,1146
2031,114167,"Rensjon",19.83944,68.07472,494
2036,114168,"Nikkaluokta",19.02556,67.85417,468
2038,114169,"Latnivaara",20.27472,67.25639,453
2049,114171,"Gallivare",20.64583,67.14222,360
2055,114173,"Naimakka",21.5275,68.67778,402
2064,114174,"Saittarova",22.23361,67.33778,240
2072,114175,"Parkalompolo",22.82694,67.73167,313
2102,114178,"Stekenjokk",14.50861,65.09444,1036
2103,114179,"Hemavan-Gierevarto",15.06444,65.78,793
2121,114183,"Mierkenis",16.10889,66.68167,615
2124,114184,"Arjeplog",17.83972,66.05139,432
2135,114187,"Buresjon",17.86028,65.55944,393
2147,114189,"Mala-Brannan",18.5975,65.15222,363
2149,114190,"Arvidsjaur",19.26833,65.59528,384
2151,114191,"Jokkmokk Fpl",20.16667,66.48333,275
2154,114192,"Vidsel",20.15417,65.86778,182
2161,114194,"Nattavaara",20.92833,66.75306,327
2173,114195,"Alvsbyn",21.06639,65.67028,43
2174,114196,"Lakatrask",21.13306,66.28028,186
2176,114197,"Pite-Ronnskar",21.56556,65.03528,4
2181,114198,"Overkalix-Svartbyn",22.8475,66.26306,62
2184,114199,"Paharova",22.33639,66.81056,229
2186,114201,"Lulea-Kallax",22.12806,65.54444,17
2188,114202,"Rodkallen",22.37556,65.31306,2
2191,114203,"Storon",23.10083,65.69833,4
2199,114205,"Ylinenjarvi",23.46806,66.62361,132
2209,114207,"Sylarna",12.27778,63.04472,1030
2221,114210,"Korsvattnet",13.50389,63.83972,717
2226,114212,"Ostersund Froson",14.50028,63.19556,359
2231,114214,"Follinge",14.60806,63.67722,362
2236,114216,"Hallhaxasen",15.33111,63.76944,377
2242,114217,"Hoting",16.23889,64.08861,241
2245,114219,"Vilhelmina",16.84222,64.58111,349
2247,114220,"Krangede",16.17333,63.15222,184
2254,114221,"Asele",17.31889,64.16611,309
2260,114223,"Vastmarkum",18.25556,63.12528,143
2261,114224,"Lycksele",18.71694,64.54944,211
2265,114226,"Hemling",18.55028,63.65139,183
2269,114227,"Skagsudde",19.02056,63.18861,11
2271,114228,"Norsjo",19.37861,64.92639,311
2282,114229,"Petistrask",19.69861,64.56694,258
2284,114230,"Jarnasklubb",19.67694,63.43611,7
2286,114231,"Umea",20.28333,63.8,8
2297,114234,"Bjuroklubb",21.57917,64.48139,37
2307,114237,"Idre Fjall",12.85444,61.88944,869
2308,114238,"Tannas",12.67028,62.45028,724
2317,114241,"Dravagen",13.61167,62.09444,566
2319,114242,"Bortnan",13.84583,62.75583,467
2321,114243,"Alvdalen",14.03861,61.25444,253
2325,114245,"Klovsjohojden",14.15722,62.49611,803
2329,114246,"Hamra",14.995,61.66056,455
2331,114247,"Hunge",15.08778,62.75139,343
2338,114249,"Edsbyn",15.71778,61.36139,185
2343,114250,"Torpshammar",16.2775,62.49444,100
2347,114251,"Delsbo",16.54194,61.82722,72
2355,114254,"Kuggoren",17.52528,61.70333,10
2366,114256,"Sundsvall Harnosand",17.44944,62.52278,9
2368,114257,"Bramon",17.74278,62.22083,18
2382,114259,"Lungo",18.09306,62.64306,18
2403,114260,"Naven",13.11111,58.69944,53
2408,114261,"Blomskog",12.07806,59.22194,171
2411,114263,"Arvika",12.63806,59.67472,67
2418,114266,"Karlstad Flygplats",13.3375,59.44472,100
2423,114267,"Sunne",13.11944,59.86444,109
2426,114268,"Gustavsfors",13.80194,60.15389,188
2429,114269,"Daglosen",14.18306,59.66194,133
2432,114270,"Orebro",15.04556,59.22889,53
2435,114271,"Borlange",15.50083,60.42917,150
2440,114272,"Amot",16.43111,60.96222,162
2441,114273,"Mora",14.50722,60.96083,197
2450,114275,"Eggegrund",17.56139,60.73056,4
2452,114276,"Kilsbergen-Suttarboda",14.89861,59.29944,219
2453,114277,"Gavle",17.16417,60.71694,16
2456,114278,"Film",17.90444,60.23583,35
2458,114279,"Uppsala",17.59583,59.90083,21
2464,114280,"Stockholm/Bromma",17.89778,59.36528,14
2468,114281,"Stora Spansberget",15.14056,60.38222,493
2469,114282,"Tullinge",17.91278,59.17889,45
2476,114284,"Floda",16.39778,59.05639,33
2481,114285,"Sala",16.68778,59.90972,58
2482,114286,"Kerstinbo",16.97722,60.26889,57
2484,114287,"Stockholm/Observatoriet",18.06667,59.35,44
2486,114289,"Adelso",17.52444,59.35833,6
2487,114290,"Stavsnas",18.74056,59.34444,22
2488,114291,"Orskar",18.37667,60.52611,9
2489,114292,"Berga",18.10889,59.06778,6
2490,114293,"Svanberga",18.63472,59.83222,16
